ShipToID,Latitude,Longitude,NumDeliveries,NumPlannedDeliveryDates,PeriodStart,PeriodEnd,TotalNetWeightKg,AvgDailyDemand,WeightInUOM
70138438,14.60442645,121.1060491,17,2,2023-01-16,2023-01-23,115.44,57.72,Kg
70152945,14.55228764,121.0138355,4,2,2023-01-13,2023-01-20,4.061,2.0305,Kg
70155196,14.48644031,121.0436435,14,1,2023-01-13,2023-01-13,90.992,90.992,Kg
70155987,14.55681789,121.0541459,1,1,2023-01-13,2023-01-13,19.84,19.84,Kg
70224396,14.58809569,121.1055055,1,1,2023-01-20,2023-01-20,0.4,0.4,Kg
70224398,14.58849938,121.1050771,1,1,2023-01-20,2023-01-20,0.2,0.2,Kg
70238985,14.58727604,121.0458805,7,2,2023-01-13,2023-01-20,25.011,12.5055,Kg
70244565,14.56191922,121.0762425,7,1,2023-01-13,2023-01-13,10.386,10.386,Kg
70246377,14.57956464,121.1372932,11,2,2023-01-16,2023-01-23,31.497,15.7485,Kg
70248476,14.4951024,121.2909781,11,2,2023-01-16,2023-01-23,38.168,19.084,Kg
70286419,14.57035576,121.1786399,13,2,2023-01-16,2023-01-23,92.322,46.161,Kg
70288587,14.57178191,121.1785415,9,2,2023-01-16,2023-01-23,31.759000000000004,15.8795,Kg
70337217,14.62500319,121.133485,13,2,2023-01-16,2023-01-23,44.299,22.1495,Kg
70337705,14.57645321,121.1768653,9,2,2023-01-16,2023-01-23,8.966,4.483,Kg
70343296,14.5622009,121.0282218,9,2,2023-01-13,2023-01-20,16.8,8.4,Kg
70347238,14.58424845,121.123968,13,2,2023-01-16,2023-01-23,52.77,26.385,Kg
70351598,14.5452904,121.0162849,10,2,2023-01-13,2023-01-20,31.435,15.7175,Kg
70361410,14.60243889,121.0498676,12,2,2023-01-16,2023-01-23,57.764,28.882,Kg
70362005,14.64198544,121.122175,9,2,2023-01-16,2023-01-23,20.529,10.2645,Kg
70362055,14.5910118,121.0328409,2,1,2023-01-11,2023-01-11,0.464,0.464,Kg
70373907,14.57385178,121.0192672,10,2,2023-01-13,2023-01-20,17.985,8.9925,Kg
70374983,14.6486277,121.0924717,10,2,2023-01-16,2023-01-23,17.092,8.546,Kg
70375866,14.62586893,121.1247822,11,2,2023-01-16,2023-01-23,39.89,19.945,Kg
70382544,14.41593786,120.8563922,9,1,2023-01-12,2023-01-12,11.683,11.683,Kg
70382797,14.54644879,121.064459,10,2,2023-01-13,2023-01-20,13.834,6.917,Kg
70390788,14.59038768,121.0954401,9,1,2023-01-13,2023-01-13,34.296,34.296,Kg
70390791,14.60420446,121.1060634,1,1,2023-01-16,2023-01-16,1.266,1.266,Kg
70390799,14.57404122,121.0478496,7,1,2023-01-13,2023-01-13,11.831,11.831,Kg
70395155,14.55540859,121.055598,46,1,2023-01-13,2023-01-13,103.343,103.343,Kg
70396492,14.64534642,121.0963252,13,2,2023-01-16,2023-01-23,48.056,24.028,Kg
70398370,14.58594333,121.0483362,7,2,2023-01-13,2023-01-20,13.753,6.8765,Kg
70398392,14.58458957,121.0759822,11,2,2023-01-13,2023-01-20,38.31,19.155,Kg
70400253,14.55267566,121.0520374,10,2,2023-01-13,2023-01-20,34.307,17.1535,Kg
70401488,14.55372651,121.0259834,10,2,2023-01-13,2023-01-20,32.432,16.216,Kg
70408061,14.54579924,121.0522527,7,1,2023-01-13,2023-01-13,23.834,23.834,Kg
70408272,14.61711251,121.1349582,11,2,2023-01-16,2023-01-23,33.673,16.8365,Kg
70408277,14.48186005,121.1872024,8,2,2023-01-16,2023-01-23,39.237,19.6185,Kg
70408280,14.56712,121.01141,7,2,2023-01-06,2023-01-13,9.827,4.9135,Kg
70412170,14.62271103,121.1022785,11,2,2023-01-16,2023-01-23,22.478,11.239,Kg
70423734,14.53985438,121.0120751,2,1,2023-01-20,2023-01-20,1.401,1.401,Kg
70428043,14.51345276,121.0476718,8,2,2023-01-13,2023-01-20,98.161,49.0805,Kg
70430210,14.52807804,121.0740454,2,1,2023-01-13,2023-01-13,6.036,6.036,Kg
70433908,14.5485442,121.0475215,2,1,2023-01-13,2023-01-13,27.317,27.317,Kg
70435202,14.54964538,121.0267766,15,2,2023-01-13,2023-01-20,33.973,16.9865,Kg
70450886,14.73188646,121.1441889,11,2,2023-01-16,2023-01-23,31.388,15.694,Kg
70464173,14.52859003,121.0415683,1,1,2023-01-17,2023-01-17,0.144,0.144,Kg
70464520,14.56309,121.01478,8,2,2023-01-13,2023-01-20,12.458,6.229,Kg
70465560,14.39942,120.9045,10,1,2023-01-12,2023-01-12,36.552,36.552,Kg
70484079,14.6516115,121.101893,11,2,2023-01-16,2023-01-23,27.572,13.786,Kg
70490240,14.56703057,121.011453,9,2,2023-01-13,2023-01-20,10.829,5.4145,Kg
70494785,14.61011767,121.0921029,8,2,2023-01-13,2023-01-20,24.726,12.363,Kg
70494786,14.58607145,121.0882271,9,2,2023-01-13,2023-01-20,40.63,20.315,Kg
70494791,14.57297813,121.0597505,9,2,2023-01-13,2023-01-20,19.508,9.754,Kg
70521396,14.69709232,121.1221925,11,2,2023-01-09,2023-01-16,45.253,22.6265,Kg
70521405,14.48093231,121.0459837,10,1,2023-01-13,2023-01-13,50.277,50.277,Kg
70525152,14.58032397,121.1731914,15,2,2023-01-09,2023-01-16,87.919,43.9595,Kg
70535019,14.57762544,121.0529607,6,1,2023-01-13,2023-01-13,11.384,11.384,Kg
70544149,14.37686287,120.9354379,9,1,2023-01-12,2023-01-12,34.598,34.598,Kg
70548634,14.58507461,121.1756311,9,2,2023-01-09,2023-01-16,48.924,24.462,Kg
70556250,14.57530545,121.041931,6,1,2023-01-13,2023-01-13,18.588,18.588,Kg
70584255,14.55939,121.00877,2,2,2023-01-06,2023-01-13,0.328,0.164,Kg
70006114,14.56071823,121.1362998,1,1,2023-03-17,2023-03-17,0.000165,0.000165,Kg
70006157,14.56597504,121.1396511,1,1,2023-03-17,2023-03-17,0.001,0.001,Kg
70006164,14.62578141,121.0841682,1,1,2023-03-17,2023-03-17,0.000169,0.000169,Kg
70006228,14.62519601,121.1200241,1,1,2023-03-17,2023-03-17,0.00019,0.00019,Kg
70006242,14.62693374,121.0837697,1,1,2023-03-17,2023-03-17,0.00019,0.00019,Kg
70019302,14.44506152,120.9505714,1,1,2023-03-16,2023-03-16,0.062,0.062,Kg
70019304,14.73490177,121.0590176,1,1,2023-03-16,2023-03-16,0.139,0.139,Kg
70019305,14.7340634,121.059044,1,1,2023-03-16,2023-03-16,0.201,0.201,Kg
70019306,14.21355424,120.967413,1,1,2023-03-16,2023-03-16,0.884,0.884,Kg
70019307,14.41557,121.04211,1,1,2023-03-16,2023-03-16,0.0002,0.0002,Kg
70019313,14.65679472,121.0306951,1,1,2023-03-16,2023-03-16,0.345,0.345,Kg
70019327,14.72212031,121.0412174,1,1,2023-03-16,2023-03-16,0.028,0.028,Kg
70019328,14.48366439,120.9935976,2,1,2023-03-17,2023-03-17,0.104,0.104,Kg
70019399,14.30096992,120.9550701,2,1,2023-03-16,2023-03-16,0.124,0.124,Kg
70019407,14.38020443,120.9945159,1,1,2023-03-16,2023-03-16,0.66,0.66,Kg
70019414,14.53511138,121.0056403,1,1,2023-03-16,2023-03-16,0.401,0.401,Kg
70019420,14.43633366,120.9685727,2,1,2023-03-16,2023-03-16,0.746,0.746,Kg
70019429,14.29062317,120.9074999,2,1,2023-03-16,2023-03-16,0.522,0.522,Kg
70019455,14.28932569,120.9783798,2,1,2023-03-16,2023-03-16,0.1,0.1,Kg
70019470,14.623107,121.05637,1,1,2023-03-16,2023-03-16,0.05,0.05,Kg
70019475,14.56518703,121.1398343,1,1,2023-03-27,2023-03-27,0.05,0.05,Kg
70019480,14.40886541,120.8572967,1,1,2023-03-16,2023-03-16,0.05,0.05,Kg
70019482,14.62292153,121.1106243,1,1,2023-03-20,2023-03-20,0.42,0.42,Kg
70019495,14.60935374,121.0793339,1,1,2023-03-16,2023-03-16,0.45,0.45,Kg
70019508,14.55081362,120.9970158,1,1,2023-03-16,2023-03-16,0.027,0.027,Kg
70019519,14.6190285,121.0557164,2,1,2023-03-16,2023-03-16,0.7350000000000001,0.735,Kg
70019525,14.63580298,121.0584858,1,1,2023-03-16,2023-03-16,0.312,0.312,Kg
70019529,14.72188332,121.0364648,1,1,2023-03-16,2023-03-16,0.11,0.11,Kg
70019539,14.70823569,121.0385887,1,1,2023-03-16,2023-03-16,0.0002,0.0002,Kg
70019576,14.6558294,121.0301526,1,1,2023-03-16,2023-03-16,0.081,0.081,Kg
70029798,14.51492235,121.2392129,1,1,2023-03-16,2023-03-16,0.05,0.05,Kg
70030492,14.57633674,121.1773259,1,1,2023-03-27,2023-03-27,0.05,0.05,Kg
70030496,14.44161133,120.9026728,1,1,2023-03-16,2023-03-16,0.139,0.139,Kg
70030503,14.5758536,121.176776,1,1,2023-03-17,2023-03-17,0.000165,0.000165,Kg
70030506,14.72982425,121.1389407,1,1,2023-03-17,2023-03-17,0.00019,0.00019,Kg
70030840,14.65755546,121.0205209,1,1,2023-03-16,2023-03-16,0.05,0.05,Kg
70033204,14.2128274,120.9662305,1,1,2023-03-16,2023-03-16,0.05,0.05,Kg
70033231,14.59703661,120.9949321,1,1,2023-03-16,2023-03-16,0.0002,0.0002,Kg
70034005,14.41333,120.94186,2,1,2023-03-16,2023-03-16,0.224,0.224,Kg
70042874,14.45744608,121.0338098,2,1,2023-03-17,2023-03-17,0.539,0.539,Kg
70043035,14.2069937,121.0207561,1,1,2023-03-16,2023-03-16,0.081,0.081,Kg
70081671,14.61889914,121.0005762,1,1,2023-03-16,2023-03-16,0.05,0.05,Kg
70083097,14.10203083,120.9187303,1,1,2023-03-16,2023-03-16,0.312,0.312,Kg
70084418,14.57964031,121.1380988,1,1,2023-03-27,2023-03-27,0.062,0.062,Kg
70084983,14.53067757,121.154252,1,1,2023-03-27,2023-03-27,0.05,0.05,Kg
70085609,14.59528003,121.1725726,1,1,2023-03-17,2023-03-17,0.001,0.001,Kg
70085612,14.53103429,121.1545164,1,1,2023-03-17,2023-03-17,0.00019,0.00019,Kg
70130197,14.28162054,120.8707004,1,1,2023-03-16,2023-03-16,0.027,0.027,Kg
70130674,14.62594348,121.0844611,1,1,2023-03-20,2023-03-20,0.84,0.84,Kg
70131040,14.68003131,121.1140468,1,1,2023-03-17,2023-03-17,0.000169,0.000169,Kg
70132663,14.68016142,121.1139175,1,1,2023-03-27,2023-03-27,0.062,0.062,Kg
70132828,14.49499509,121.2916349,1,1,2023-03-17,2023-03-17,0.00019,0.00019,Kg
70133556,14.6496004,121.0752681,1,1,2023-03-16,2023-03-16,0.2,0.2,Kg
70137842,14.48588427,121.0415858,1,1,2023-03-17,2023-03-17,0.05,0.05,Kg
70138238,14.32312317,120.9615984,2,1,2023-03-20,2023-03-20,0.036,0.036,Kg
70153755,14.54929684,121.0269714,1,1,2023-03-17,2023-03-17,0.000165,0.000165,Kg
70155195,14.41771227,121.0400636,1,1,2023-03-16,2023-03-16,0.062,0.062,Kg
70155196,14.48644031,121.0436435,1,1,2023-03-17,2023-03-17,0.1,0.1,Kg
70155782,14.5213587,121.0165641,2,1,2023-03-16,2023-03-16,0.4569999999999999,0.457,Kg
70157031,14.63251599,121.0743635,1,1,2023-03-16,2023-03-16,0.05,0.05,Kg
70225154,14.45171668,121.0248915,1,1,2023-03-17,2023-03-17,0.05,0.05,Kg
70225158,14.28529,120.86662,1,1,2023-03-16,2023-03-16,0.25,0.25,Kg
70238808,14.46144,120.99418,1,1,2023-03-16,2023-03-16,0.58,0.58,Kg
70247437,14.62481106,121.133777,1,1,2023-03-17,2023-03-17,0.000165,0.000165,Kg
70248511,14.17074406,120.9218963,1,1,2023-03-16,2023-03-16,0.112,0.112,Kg
70284041,14.57600805,121.1768897,1,1,2023-03-17,2023-03-17,0.000453,0.000453,Kg
70286191,14.66640692,121.0427741,1,1,2023-03-16,2023-03-16,0.427,0.427,Kg
70337656,14.64029056,121.0356843,1,1,2023-03-16,2023-03-16,0.26,0.26,Kg
70343297,14.40961641,120.9246224,1,1,2023-03-16,2023-03-16,0.062,0.062,Kg
70343299,14.65173267,121.0363951,1,1,2023-03-16,2023-03-16,0.2,0.2,Kg
70351585,14.65050846,121.0744776,1,1,2023-03-16,2023-03-16,0.05,0.05,Kg
70390789,14.3857457,120.9783547,1,1,2023-03-16,2023-03-16,0.05,0.05,Kg
70391025,14.41926403,121.0485776,1,1,2023-03-16,2023-03-16,0.05,0.05,Kg
70391033,14.68459369,121.1051942,2,1,2023-03-16,2023-03-16,0.362,0.362,Kg
70396487,14.6557506,121.0299218,2,1,2023-03-16,2023-03-16,0.472,0.472,Kg
70398393,14.67993761,121.0198766,1,1,2023-03-16,2023-03-16,0.05,0.05,Kg
70405783,14.7062137,121.0732968,1,1,2023-03-16,2023-03-16,0.05,0.05,Kg
70405785,14.11570982,120.9613937,1,1,2023-03-16,2023-03-16,0.027,0.027,Kg
70419671,14.41932,121.04852,2,1,2023-03-16,2023-03-16,0.262,0.262,Kg
70422303,14.6838999,121.0678646,1,1,2023-03-16,2023-03-16,0.112,0.112,Kg
70423736,14.52257038,120.9896636,1,1,2023-03-17,2023-03-17,0.194,0.194,Kg
70423817,14.62520453,121.1246105,1,1,2023-03-17,2023-03-17,0.00019,0.00019,Kg
70430246,14.51673886,121.0195272,1,1,2023-03-16,2023-03-16,0.112,0.112,Kg
70433907,14.52199528,121.0156878,1,1,2023-03-16,2023-03-16,0.544,0.544,Kg
70464553,14.6997918,121.0666838,1,1,2023-03-16,2023-03-16,0.162,0.162,Kg
70494781,14.67246738,121.0196066,1,1,2023-03-16,2023-03-16,0.027,0.027,Kg
70494784,14.68403763,121.0775556,1,1,2023-03-16,2023-03-16,0.05,0.05,Kg
70494788,14.63880958,121.1311837,1,1,2023-03-27,2023-03-27,0.05,0.05,Kg
70523668,14.61708716,121.1354737,1,1,2023-03-17,2023-03-17,0.001,0.001,Kg
70535012,14.53524405,120.9826732,1,1,2023-03-16,2023-03-16,0.848,0.848,Kg
70574708,14.53785312,121.0013545,2,1,2023-03-16,2023-03-16,0.244,0.244,Kg
70587572,14.34230563,120.8496689,2,1,2023-03-16,2023-03-16,0.162,0.162,Kg
70490239,14.46501918,120.9723216,1,1,2023-03-16,2023-03-16,0.15,0.15,Kg
70017028,14.55164471,121.0229718,1,1,2023-05-25,2023-05-25,3.268,3.268,Kg
70017047,14.60460461,121.0432141,2,1,2023-05-26,2023-05-26,33.76,33.76,Kg
70017052,14.4642918,120.9686112,1,1,2023-05-29,2023-05-29,0.87,0.87,Kg
70017100,14.65790783,120.9510995,2,1,2023-05-25,2023-05-25,20.016,20.016,Kg
70017116,14.67744353,121.0825134,1,1,2023-05-26,2023-05-26,42.744,42.744,Kg
70017120,14.51516971,121.2390509,1,1,2023-05-25,2023-05-25,1.12,1.12,Kg
70017135,14.55821333,121.0053684,2,1,2023-05-25,2023-05-25,58.974,58.974,Kg
70017139,14.44789233,120.9854103,1,1,2023-05-25,2023-05-25,1.782,1.782,Kg
70017142,14.62924301,120.9739946,1,1,2023-05-25,2023-05-25,26.544,26.544,Kg
70017178,14.65014273,121.1167646,1,1,2023-05-25,2023-05-25,36.532,36.532,Kg
70017186,14.54014393,121.0121386,1,1,2023-05-25,2023-05-25,20.852,20.852,Kg
70017217,14.52255299,121.1542433,1,1,2023-05-25,2023-05-25,1.124,1.124,Kg
70017219,14.56675824,121.0118975,1,1,2023-05-25,2023-05-25,1.2,1.2,Kg
70017336,14.36182895,121.0568394,1,1,2023-05-26,2023-05-26,9.12,9.12,Kg
70017383,14.6495929,121.1017166,1,1,2023-05-25,2023-05-25,2.446,2.446,Kg
70017394,14.38914152,121.0448646,1,1,2023-05-29,2023-05-29,15.332,15.332,Kg
70017402,14.60505303,121.0227754,1,1,2023-05-25,2023-05-25,1.448,1.448,Kg
70017409,14.55456508,121.0474772,2,1,2023-05-25,2023-05-25,164.232,164.232,Kg
70017411,14.34603986,121.0635544,1,1,2023-05-25,2023-05-25,3.288,3.288,Kg
70017414,14.60456058,121.043217,1,1,2023-05-25,2023-05-25,10.082,10.082,Kg
70018744,14.64528551,121.0533805,4,2,2023-05-25,2023-06-08,60.451,30.2255,Kg
70018745,14.67555246,121.0436656,4,1,2023-06-08,2023-06-08,44.617,44.617,Kg
70018747,14.52308981,121.1542441,2,2,2023-05-25,2023-06-08,46.052,23.026,Kg
70018748,14.62052516,121.1014695,1,1,2023-06-01,2023-06-01,9.444,9.444,Kg
70021862,14.63304481,121.0965929,4,2,2023-06-01,2023-06-08,22.536,11.268,Kg
70021869,14.32812213,120.9333781,3,2,2023-06-01,2023-06-08,13.747,6.8735,Kg
70021870,14.62050845,121.1013582,1,1,2023-06-01,2023-06-01,2.94,2.94,Kg
70022406,14.58891995,121.042647,1,1,2023-06-01,2023-06-01,11.568,11.568,Kg
70022407,14.61825644,120.9709,6,3,2023-05-25,2023-06-08,97.08,32.36,Kg
70022408,14.50078178,120.9977171,3,2,2023-05-25,2023-06-08,112.942,56.471,Kg
70022410,14.69807138,120.9634114,8,3,2023-05-25,2023-06-08,104.868,34.956,Kg
70022412,14.4387963,121.0047564,5,2,2023-06-01,2023-06-08,45.632000000000005,22.816,Kg
70022413,14.57461617,121.0124754,6,3,2023-05-25,2023-06-08,84.077,28.025667,Kg
70022415,14.32729782,121.0868449,5,2,2023-05-25,2023-06-08,159.251,79.6255,Kg
