DepotID,ShipToID,Latitude,Longitude,NumDeliveries,NumPlannedDeliveryDates,PeriodStart,PeriodEnd,TotalNetWeightKg,AvgDailyDemand,WeightInUOM,AssignedDepotID
2522,70532300,14.6402839,121.0744741,1,1,2023-05-18,2023-05-18,5.514,5.514,Kg,25P1
2522,70534327,14.69984583,121.0661296,2,2,2023-05-16,2023-05-23,3.696,1.848,Kg,25P1
2522,70534450,14.48705669,121.0277067,2,1,2023-05-16,2023-05-16,29.84,29.84,Kg,2513
2522,70537692,14.5048485,121.1690264,3,2,2023-05-16,2023-05-23,15.72,7.86,Kg,2513
2522,70538015,14.43168393,120.9899312,3,2,2023-05-16,2023-05-23,8.591999999999999,4.296,Kg,2513
2522,70538598,14.68737288,120.9839675,1,1,2023-05-23,2023-05-23,6.036,6.036,Kg,25P1
2522,70538599,14.69245645,120.9699086,1,1,2023-05-16,2023-05-16,3.552,3.552,Kg,25P1
2522,70538713,14.32155446,120.7720985,1,1,2023-05-16,2023-05-16,2.192,2.192,Kg,2522
2522,70538780,14.4035988,120.9258788,6,2,2023-05-16,2023-05-23,123.24,61.62,Kg,2522
2522,70540771,14.75789718,121.045307,3,1,2023-05-16,2023-05-16,10.712,10.712,Kg,25P1
2522,70541283,14.6103558,121.0307369,3,2,2023-05-16,2023-05-23,13.748,6.874,Kg,2513
2522,70549572,14.55282143,121.0974699,1,1,2023-05-16,2023-05-16,2.192,2.192,Kg,2513
2522,70553966,14.48275394,121.0359616,2,1,2023-05-18,2023-05-18,31.44,31.44,Kg,2513
2522,70554155,14.66975945,121.0531057,5,2,2023-05-16,2023-05-23,12.2,6.1,Kg,25P1
2522,70554156,14.5430593,121.064949,1,1,2023-05-16,2023-05-16,6.912,6.912,Kg,2513
2522,70566041,14.55796783,121.0252162,2,2,2023-05-16,2023-05-23,7.804,3.902,Kg,2513
2522,70566653,14.69433093,121.0432508,1,1,2023-05-16,2023-05-16,3.872,3.872,Kg,25P1
2522,70566654,14.61509795,121.0470414,3,1,2023-05-16,2023-05-16,14.072,14.072,Kg,25P1
2522,70566655,14.21373338,120.9680627,2,1,2023-05-16,2023-05-16,8.864,8.864,Kg,2522
2522,70571502,14.32379709,121.088196,2,1,2023-05-16,2023-05-16,4.128,4.128,Kg,2522
2522,70575485,14.66590191,120.9447053,3,1,2023-05-16,2023-05-16,11.04,11.04,Kg,25P1
2522,70578874,14.7562074,121.0438902,4,2,2023-05-16,2023-05-23,40.168,20.084,Kg,25P1
2522,70579668,14.71981807,121.1390478,1,1,2023-05-16,2023-05-16,2.192,2.192,Kg,25P1
2522,70584496,14.61440196,121.0374669,3,2,2023-05-16,2023-05-23,9.48,4.74,Kg,25P1
2522,70586841,14.67274813,121.0612642,4,2,2023-05-16,2023-05-23,13.4,6.7,Kg,25P1
